num_zon,nom_localidade,num_local,nom_local,des_endereco,num_cep,nom_bairro,num_secao,qtd_aptos
1,VITÓRIA,2380,CMEI DR. PEDRO FEU ROSA,"R. ALOÍSIO DE MENEZES, 298",29047090,bonfim,1014,268
1,VITÓRIA,2380,CMEI DR. PEDRO FEU ROSA,"R. ALOÍSIO DE MENEZES, 298",29047090,bonfim,1015,277
1,VITÓRIA,2380,CMEI DR. PEDRO FEU ROSA,"R. ALOÍSIO DE MENEZES, 298",29047090,bonfim,1016,271
1,VITÓRIA,2380,CMEI DR. PEDRO FEU ROSA,"R. ALOÍSIO DE MENEZES, 298",29047090,bonfim,1017,268
1,VITÓRIA,2380,CMEI DR. PEDRO FEU ROSA,"R. ALOÍSIO DE MENEZES, 298",29047090,bonfim,1018,194
1,VITÓRIA,2399,EMEF PREZIDEU AMORIM,"RUA ALOÍSIO MENEZES, 220",29047090,bonfim,1019,348
1,VITÓRIA,2399,EMEF PREZIDEU AMORIM,"RUA ALOÍSIO MENEZES, 220",29047090,bonfim,1020,353
1,VITÓRIA,2399,EMEF PREZIDEU AMORIM,"RUA ALOÍSIO MENEZES, 220",29047090,bonfim,1021,348
1,VITÓRIA,2399,EMEF PREZIDEU AMORIM,"RUA ALOÍSIO MENEZES, 220",29047090,bonfim,1022,345
1,VITÓRIA,2399,EMEF PREZIDEU AMORIM,"RUA ALOÍSIO MENEZES, 220",29047090,bonfim,1023,217
1,VITÓRIA,2399,EMEF PREZIDEU AMORIM,"RUA ALOÍSIO MENEZES, 220",29047090,bonfim,1024,342
1,VITÓRIA,2399,EMEF PREZIDEU AMORIM,"RUA ALOÍSIO MENEZES, 220",29047090,bonfim,1025,400
1,VITÓRIA,2399,EMEF PREZIDEU AMORIM,"RUA ALOÍSIO MENEZES, 220",29047090,bonfim,1071,221
1,VITÓRIA,2208,CMEI  SINCLAIR PHILLIPS,"RUA SERVIDÃO VITORIA SANTANA RIBEIRO, 40",29025590,CARATOÍRA,648,414
1,VITÓRIA,2208,CMEI  SINCLAIR PHILLIPS,"RUA SERVIDÃO VITORIA SANTANA RIBEIRO, 40",29025590,CARATOÍRA,670,422
1,VITÓRIA,2208,CMEI  SINCLAIR PHILLIPS,"RUA SERVIDÃO VITORIA SANTANA RIBEIRO, 40",29025590,CARATOÍRA,1064,369
1,VITÓRIA,1023,CEEJA - CENTRO ESTADUAL DE ,"RUA SÃO BENTO, 66 - FONTE GRANDE",29016290,CENTRO,3,303
1,VITÓRIA,1023,CEEJA - CENTRO ESTADUAL DE ,"RUA SÃO BENTO, 66 - FONTE GRANDE",29016290,CENTRO,4,302
1,VITÓRIA,1023,CEEJA - CENTRO ESTADUAL DE ,"RUA SÃO BENTO, 66 - FONTE GRANDE",29016290,CENTRO,6,304
1,VITÓRIA,1023,CEEJA - CENTRO ESTADUAL DE ,"RUA SÃO BENTO, 66 - FONTE GRANDE",29016290,CENTRO,46,303
1,VITÓRIA,1023,CEEJA - CENTRO ESTADUAL DE ,"RUA SÃO BENTO, 66 - FONTE GRANDE",29016290,CENTRO,532,299
1,VITÓRIA,1023,CEEJA - CENTRO ESTADUAL DE ,"RUA SÃO BENTO, 66 - FONTE GRANDE",29016290,CENTRO,543,302
1,VITÓRIA,1066,FAMES - FACULDADE DE ,"PRAÇA AMÉRICO POLI MONJARDIM, 60",29010360,CENTRO,19,140
1,VITÓRIA,1066,FAMES - FACULDADE DE ,"PRAÇA AMÉRICO POLI MONJARDIM, 60",29010360,CENTRO,20,146
1,VITÓRIA,1066,FAMES - FACULDADE DE ,"PRAÇA AMÉRICO POLI MONJARDIM, 60",29010360,CENTRO,22,150
1,VITÓRIA,1066,FAMES - FACULDADE DE ,"PRAÇA AMÉRICO POLI MONJARDIM, 60",29010360,CENTRO,24,142
1,VITÓRIA,1066,FAMES - FACULDADE DE ,"PRAÇA AMÉRICO POLI MONJARDIM, 60",29010360,CENTRO,30,146
1,VITÓRIA,1066,FAMES - FACULDADE DE ,"PRAÇA AMÉRICO POLI MONJARDIM, 60",29010360,CENTRO,44,144
1,VITÓRIA,1066,FAMES - FACULDADE DE ,"PRAÇA AMÉRICO POLI MONJARDIM, 60",29010360,CENTRO,553,146
1,VITÓRIA,1066,FAMES - FACULDADE DE ,"PRAÇA AMÉRICO POLI MONJARDIM, 60",29010360,CENTRO,619,146
1,VITÓRIA,1090,EEEFM MARIA ORTIZ,"RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA",29015090,CENTRO,25,299
1,VITÓRIA,1090,EEEFM MARIA ORTIZ,"RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA",29015090,CENTRO,26,298
1,VITÓRIA,1090,EEEFM MARIA ORTIZ,"RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA",29015090,CENTRO,27,296
1,VITÓRIA,1090,EEEFM MARIA ORTIZ,"RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA",29015090,CENTRO,29,295
1,VITÓRIA,1090,EEEFM MARIA ORTIZ,"RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA",29015090,CENTRO,32,296
1,VITÓRIA,1090,EEEFM MARIA ORTIZ,"RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA",29015090,CENTRO,45,295
1,VITÓRIA,1104,EMEF SÃO VICENTE DE PAULO,"PRAÇA IRMÃ JOSEFA HOZANNAH,  S/N",29015560,CENTRO,34,334
1,VITÓRIA,1104,EMEF SÃO VICENTE DE PAULO,"PRAÇA IRMÃ JOSEFA HOZANNAH,  S/N",29015560,CENTRO,35,341
1,VITÓRIA,1104,EMEF SÃO VICENTE DE PAULO,"PRAÇA IRMÃ JOSEFA HOZANNAH,  S/N",29015560,CENTRO,36,329
1,VITÓRIA,1104,EMEF SÃO VICENTE DE PAULO,"PRAÇA IRMÃ JOSEFA HOZANNAH,  S/N",29015560,CENTRO,611,329
1,VITÓRIA,1104,EMEF SÃO VICENTE DE PAULO,"PRAÇA IRMÃ JOSEFA HOZANNAH,  S/N",29015560,CENTRO,1068,338
